Athlete_ID,Sport_Type,Training_Hours,Training_Intensity,Sleep_Hours,Nutrition_Score,Fatigue_Level,Recovery_Index,Performance_Score,Injury_Risk,Date,Training_Load,Wellness Score,Acute_Load,Chronic_Load,ACWR,Risk_Level,Avg_Training_Load,Recent_Load,Load_Ratio
A0077,Athletics,1.74,3,7.1,77,7,73,52,Low,2025-03-18,5.22,73.66666666666667,5.22,,1.0,Optimal,5.22,5.22,1.0
A0078,Athletics,5.63,4,8.3,55,4,40,91,Low,2025-03-19,22.52,59.333333333333336,22.52,,1.0,Optimal,22.52,22.52,1.0
A0079,Badminton,3.46,7,9.0,78,4,70,70,Low,2025-03-20,24.22,79.33333333333333,24.22,,1.0,Optimal,24.22,24.22,1.0
A0080,Athletics,2.29,10,8.3,66,9,69,84,High,2025-03-21,22.9,72.66666666666667,22.9,,1.0,Optimal,22.9,22.9,1.0
A0081,Badminton,3.3,9,7.8,65,6,87,90,Low,2025-03-22,29.7,76.66666666666667,29.7,,1.0,Optimal,29.7,29.7,1.0
A0082,Athletics,5.9,2,7.1,72,4,57,89,Low,2025-03-23,11.8,66.66666666666667,11.8,,1.0,Optimal,11.8,11.8,1.0
A0083,Cricket,3.46,3,6.8,80,2,94,52,High,2025-03-24,10.379999999999999,80.66666666666667,10.379999999999999,,1.0,Optimal,10.379999999999999,10.379999999999999,1.0
A0084,Hockey,2.64,4,5.3,52,6,97,74,Low,2025-03-25,10.56,67.33333333333333,10.56,,1.0,Optimal,10.56,10.56,1.0
A0085,Badminton,4.17,10,6.6,70,2,56,94,Low,2025-03-26,41.7,64.0,41.7,,1.0,Optimal,41.7,41.7,1.0
A0086,Tennis,2.2,1,8.6,75,5,77,87,Low,2025-03-27,2.2,79.33333333333333,2.2,,1.0,Optimal,2.2,2.2,1.0
A0087,Swimming,1.38,7,8.2,85,6,53,94,Medium,2025-03-28,9.66,73.33333333333333,9.66,,1.0,Optimal,9.66,9.66,1.0
A0088,Football,1.64,2,5.9,91,4,62,69,Low,2025-03-29,3.28,70.66666666666667,3.28,,1.0,Optimal,3.28,3.28,1.0
A0089,Athletics,1.64,5,6.9,86,3,64,93,Low,2025-03-30,8.2,73.0,8.2,,1.0,Optimal,8.2,8.2,1.0
A0090,Basketball,1.76,1,8.3,71,7,54,94,Low,2025-03-31,1.76,69.33333333333333,1.76,,1.0,Optimal,1.76,1.76,1.0
A0091,Hockey,1.69,3,5.3,91,2,85,83,Low,2025-04-01,5.07,76.33333333333333,5.07,,1.0,Optimal,5.07,5.07,1.0
A0092,Athletics,4.2,2,6.5,61,6,95,70,High,2025-04-02,8.4,73.66666666666667,8.4,,1.0,Optimal,8.4,8.4,1.0
A0093,Basketball,1.91,1,8.4,91,4,61,97,High,2025-04-03,1.91,78.66666666666667,1.91,,1.0,Optimal,1.91,1.91,1.0
A0094,Swimming,2.73,7,6.6,62,6,42,72,Medium,2025-04-04,19.11,56.666666666666664,19.11,,1.0,Optimal,19.11,19.11,1.0
A0095,Swimming,5.48,5,5.3,60,4,95,55,Medium,2025-04-05,27.400000000000002,69.33333333333333,27.400000000000002,,1.0,Optimal,27.400000000000002,27.400000000000002,1.0
A0096,Swimming,3.37,1,7.2,65,4,94,100,Low,2025-04-06,3.37,77.0,3.37,,1.0,Optimal,3.37,3.37,1.0
A0097,Basketball,4.34,6,8.4,57,4,58,62,Low,2025-04-07,26.04,66.33333333333333,26.04,,1.0,Optimal,26.04,26.04,1.0
A0098,Athletics,1.86,5,7.4,89,9,96,98,Medium,2025-04-08,9.3,86.33333333333333,9.3,,1.0,Optimal,9.3,9.3,1.0
A0099,Swimming,1.96,3,5.9,89,7,83,72,Low,2025-04-09,5.88,77.0,5.88,,1.0,Optimal,5.88,5.88,1.0
A0100,Cricket,1.2,7,6.5,94,3,73,58,Low,2025-04-10,8.4,77.33333333333333,8.4,,1.0,Optimal,8.4,8.4,1.0
A0101,Badminton,1.84,10,6.8,51,3,74,66,Medium,2025-04-11,18.400000000000002,64.33333333333333,18.400000000000002,,1.0,Optimal,18.400000000000002,18.400000000000002,1.0
A0102,Basketball,2.39,9,7.3,79,6,89,51,Low,2025-04-12,21.51,80.33333333333333,21.51,,1.0,Optimal,21.51,21.51,1.0
A0103,Basketball,1.89,9,8.0,79,6,100,68,Medium,2025-04-13,17.009999999999998,86.33333333333333,17.009999999999998,,1.0,Optimal,17.009999999999998,17.009999999999998,1.0
A0104,Athletics,1.44,9,5.4,61,4,40,68,Low,2025-04-14,12.959999999999999,51.666666666666664,12.959999999999999,,1.0,Optimal,12.959999999999999,12.959999999999999,1.0
A0105,Basketball,1.6,2,8.6,59,9,91,56,Low,2025-04-15,3.2,78.66666666666667,3.2,,1.0,Optimal,3.2,3.2,1.0
A0106,Basketball,3.3,3,5.0,93,4,60,91,Low,2025-04-16,9.899999999999999,67.66666666666667,9.899999999999999,,1.0,Optimal,9.899999999999999,9.899999999999999,1.0
A0107,Swimming,2.03,7,6.5,60,9,68,91,Low,2025-04-17,14.209999999999999,64.33333333333333,14.209999999999999,,1.0,Optimal,14.209999999999999,14.209999999999999,1.0
A0108,Athletics,2.82,5,5.1,64,4,45,69,Medium,2025-04-18,14.1,53.333333333333336,14.1,,1.0,Optimal,14.1,14.1,1.0
A0109,Swimming,3.52,2,6.6,65,2,76,58,Low,2025-04-19,7.04,69.0,7.04,,1.0,Optimal,7.04,7.04,1.0
A0110,Badminton,4.45,3,7.1,66,2,40,66,Low,2025-04-20,13.350000000000001,59.0,13.350000000000001,,1.0,Optimal,13.350000000000001,13.350000000000001,1.0
A0111,Hockey,1.2,10,7.0,75,5,90,76,Low,2025-04-21,12.0,78.33333333333333,12.0,,1.0,Optimal,12.0,12.0,1.0
A0112,Badminton,5.0,6,5.7,51,4,40,96,Low,2025-04-22,30.0,49.333333333333336,30.0,,1.0,Optimal,30.0,30.0,1.0
A0113,Hockey,4.14,7,7.6,99,7,66,51,Low,2025-04-23,28.979999999999997,80.33333333333333,28.979999999999997,,1.0,Optimal,28.979999999999997,28.979999999999997,1.0
A0114,Swimming,1.41,9,5.2,61,5,60,85,High,2025-04-24,12.69,57.666666666666664,12.69,,1.0,Optimal,12.69,12.69,1.0
A0115,Badminton,5.37,1,8.0,100,6,92,68,Low,2025-04-25,5.37,90.66666666666667,5.37,,1.0,Optimal,5.37,5.37,1.0
A0116,Athletics,5.6,7,8.8,75,10,55,66,Medium,2025-04-26,39.199999999999996,72.66666666666667,39.199999999999996,,1.0,Optimal,39.199999999999996,39.199999999999996,1.0
A0117,Football,1.31,8,6.4,72,4,83,54,Medium,2025-04-27,10.48,73.0,10.48,,1.0,Optimal,10.48,10.48,1.0
A0118,Swimming,2.38,3,7.1,67,2,98,88,Low,2025-04-28,7.14,78.66666666666667,7.14,,1.0,Optimal,7.14,7.14,1.0
A0119,Hockey,5.03,4,6.5,81,10,100,67,Low,2025-04-29,20.12,82.0,20.12,,1.0,Optimal,20.12,20.12,1.0
A0120,Cricket,4.74,10,5.0,98,9,93,56,Medium,2025-04-30,47.400000000000006,80.33333333333333,47.400000000000006,,1.0,Optimal,47.400000000000006,47.400000000000006,1.0
A0121,Hockey,1.92,6,6.5,87,10,79,66,Low,2025-05-01,11.52,77.0,11.52,,1.0,Optimal,11.52,11.52,1.0
A0122,Cricket,2.05,10,8.2,96,7,65,88,Low,2025-05-02,20.5,81.0,20.5,,1.0,Optimal,20.5,20.5,1.0
A0123,Basketball,2.85,7,7.4,52,4,55,85,Low,2025-05-03,19.95,60.333333333333336,19.95,,1.0,Optimal,19.95,19.95,1.0
A0124,Badminton,3.42,4,5.4,87,3,67,89,High,2025-05-04,13.68,69.33333333333333,13.68,,1.0,Optimal,13.68,13.68,1.0
A0125,Cricket,4.09,8,8.4,52,10,40,94,High,2025-05-05,32.72,58.666666666666664,32.72,,1.0,Optimal,32.72,32.72,1.0
A0126,Hockey,2.84,5,7.1,79,3,75,53,Medium,2025-05-06,14.2,75.0,14.2,,1.0,Optimal,14.2,14.2,1.0
A0127,Basketball,3.31,1,8.4,50,9,49,87,Low,2025-05-07,3.31,61.0,3.31,,1.0,Optimal,3.31,3.31,1.0
A0128,Football,4.74,4,7.3,79,5,82,74,Low,2025-05-08,18.96,78.0,18.96,,1.0,Optimal,18.96,18.96,1.0
A0129,Athletics,1.18,3,7.2,94,3,56,54,Low,2025-05-09,3.54,74.0,3.54,,1.0,Optimal,3.54,3.54,1.0
A0130,Athletics,2.26,9,5.4,81,5,96,79,Low,2025-05-10,20.339999999999996,77.0,20.339999999999996,,1.0,Optimal,20.339999999999996,20.339999999999996,1.0
A0131,Athletics,4.57,8,5.7,77,2,98,61,Low,2025-05-11,36.56,77.33333333333333,36.56,,1.0,Optimal,36.56,36.56,1.0
A0132,Cricket,5.48,1,8.9,70,4,62,53,High,2025-05-12,5.48,73.66666666666667,5.48,,1.0,Optimal,5.48,5.48,1.0
A0133,Football,3.56,6,5.9,95,10,46,73,High,2025-05-13,21.36,66.66666666666667,21.36,,1.0,Optimal,21.36,21.36,1.0
A0134,Cricket,3.66,9,8.9,62,2,83,78,Low,2025-05-14,32.94,78.0,32.94,,1.0,Optimal,32.94,32.94,1.0
A0135,Badminton,1.54,7,7.1,76,2,92,58,Low,2025-05-15,10.780000000000001,79.66666666666667,10.780000000000001,,1.0,Optimal,10.780000000000001,10.780000000000001,1.0
A0136,Cricket,3.24,4,5.5,85,8,46,53,Low,2025-05-16,12.96,62.0,12.96,,1.0,Optimal,12.96,12.96,1.0
A0137,Football,3.66,1,5.4,56,1,83,100,Low,2025-05-17,3.66,64.33333333333333,3.66,,1.0,Optimal,3.66,3.66,1.0
A0138,Football,2.21,2,5.8,71,7,54,73,Medium,2025-05-18,4.42,61.0,4.42,,1.0,Optimal,4.42,4.42,1.0
A0139,Badminton,2.35,5,8.7,59,5,73,63,Medium,2025-05-19,11.75,73.0,11.75,,1.0,Optimal,11.75,11.75,1.0
A0140,Football,2.89,5,6.7,88,8,85,54,Low,2025-05-20,14.450000000000001,80.0,14.450000000000001,,1.0,Optimal,14.450000000000001,14.450000000000001,1.0
A0141,Hockey,1.1,8,6.6,64,1,84,67,Low,2025-05-21,8.8,71.33333333333333,8.8,,1.0,Optimal,8.8,8.8,1.0
A0142,Football,2.61,6,6.3,64,7,43,91,Low,2025-05-22,15.66,56.666666666666664,15.66,,1.0,Optimal,15.66,15.66,1.0
A0143,Athletics,2.06,8,5.6,53,5,53,68,Low,2025-05-23,16.48,54.0,16.48,,1.0,Optimal,16.48,16.48,1.0
A0144,Hockey,2.64,2,7.0,81,4,53,61,Low,2025-05-24,5.28,68.0,5.28,,1.0,Optimal,5.28,5.28,1.0
A0145,Hockey,1.6,3,5.5,72,7,55,67,Low,2025-05-25,4.800000000000001,60.666666666666664,4.800000000000001,,1.0,Optimal,4.800000000000001,4.800000000000001,1.0
A0146,Badminton,5.45,6,8.3,55,10,46,66,Low,2025-05-26,32.7,61.333333333333336,32.7,,1.0,Optimal,32.7,32.7,1.0
A0147,Tennis,3.97,10,6.5,73,2,71,79,Medium,2025-05-27,39.7,69.66666666666667,39.7,,1.0,Optimal,39.7,39.7,1.0
A0148,Tennis,4.4,3,6.5,69,1,58,73,Low,2025-05-28,13.200000000000001,64.0,13.200000000000001,,1.0,Optimal,13.200000000000001,13.200000000000001,1.0
A0149,Football,4.95,6,6.9,86,1,41,60,Low,2025-05-29,29.700000000000003,65.33333333333333,29.700000000000003,,1.0,Optimal,29.700000000000003,29.700000000000003,1.0
A0150,Hockey,3.49,6,6.8,69,1,49,84,Low,2025-05-30,20.94,62.0,20.94,,1.0,Optimal,20.94,20.94,1.0
A0151,Tennis,1.43,2,9.0,61,5,89,72,Low,2025-05-31,2.86,80.0,2.86,,1.0,Optimal,2.86,2.86,1.0
A0152,Tennis,3.69,7,7.2,82,10,100,66,Low,2025-06-01,25.83,84.66666666666667,25.83,,1.0,Optimal,25.83,25.83,1.0
A0153,Football,3.93,2,5.4,77,7,56,50,Low,2025-06-02,7.86,62.333333333333336,7.86,,1.0,Optimal,7.86,7.86,1.0
A0154,Tennis,4.73,6,7.4,57,2,76,64,Low,2025-06-03,28.380000000000003,69.0,28.380000000000003,,1.0,Optimal,28.380000000000003,28.380000000000003,1.0
A0155,Cricket,3.16,1,5.6,50,10,51,81,Low,2025-06-04,3.16,52.333333333333336,3.16,,1.0,Optimal,3.16,3.16,1.0
A0156,Basketball,1.64,3,5.1,86,8,45,58,Medium,2025-06-05,4.92,60.666666666666664,4.92,,1.0,Optimal,4.92,4.92,1.0
A0157,Badminton,2.42,2,8.9,71,4,61,64,Low,2025-06-06,4.84,73.66666666666667,4.84,,1.0,Optimal,4.84,4.84,1.0
A0158,Basketball,2.82,7,8.1,55,3,71,77,Medium,2025-06-07,19.74,69.0,19.74,,1.0,Optimal,19.74,19.74,1.0
A0159,Football,4.23,4,8.9,70,10,80,73,Low,2025-06-08,16.92,79.66666666666667,16.92,,1.0,Optimal,16.92,16.92,1.0
A0160,Athletics,3.85,8,6.9,81,8,59,84,Low,2025-06-09,30.8,69.66666666666667,30.8,,1.0,Optimal,30.8,30.8,1.0
A0161,Badminton,2.78,6,7.1,84,2,40,71,Low,2025-06-10,16.68,65.0,16.68,,1.0,Optimal,16.68,16.68,1.0
A0162,Football,5.93,10,5.7,64,3,93,76,Low,2025-06-11,59.3,71.33333333333333,59.3,,1.0,Optimal,59.3,59.3,1.0
A0163,Hockey,4.03,4,6.0,54,3,86,68,High,2025-06-12,16.12,66.66666666666667,16.12,,1.0,Optimal,16.12,16.12,1.0
A0164,Athletics,2.19,5,8.4,95,10,92,94,Medium,2025-06-13,10.95,90.33333333333333,10.95,,1.0,Optimal,10.95,10.95,1.0
A0165,Basketball,1.51,9,6.4,99,1,97,61,High,2025-06-14,13.59,86.66666666666667,13.59,,1.0,Optimal,13.59,13.59,1.0
A0166,Football,1.76,7,8.3,97,6,45,69,High,2025-06-15,12.32,75.0,12.32,,1.0,Optimal,12.32,12.32,1.0
A0167,Hockey,2.23,10,7.8,55,2,58,50,Low,2025-06-16,22.3,63.666666666666664,22.3,,1.0,Optimal,22.3,22.3,1.0
A0168,Badminton,1.8,9,5.7,74,1,57,70,Low,2025-06-17,16.2,62.666666666666664,16.2,,1.0,Optimal,16.2,16.2,1.0
A0169,Badminton,1.93,7,7.0,95,2,45,98,Low,2025-06-18,13.51,70.0,13.51,,1.0,Optimal,13.51,13.51,1.0
A0170,Swimming,2.43,1,7.7,89,6,84,94,High,2025-06-19,2.43,83.33333333333333,2.43,,1.0,Optimal,2.43,2.43,1.0
A0171,Hockey,1.87,8,5.9,78,4,72,50,Medium,2025-06-20,14.96,69.66666666666667,14.96,,1.0,Optimal,14.96,14.96,1.0
A0172,Cricket,5.48,4,8.3,56,6,62,59,Low,2025-06-21,21.92,67.0,21.92,,1.0,Optimal,21.92,21.92,1.0
A0173,Tennis,1.4,3,7.2,89,9,62,96,Medium,2025-06-22,4.199999999999999,74.33333333333333,4.199999999999999,,1.0,Optimal,4.199999999999999,4.199999999999999,1.0
A0174,Athletics,3.62,7,5.7,62,10,65,81,Low,2025-06-23,25.34,61.333333333333336,25.34,,1.0,Optimal,25.34,25.34,1.0
A0175,Hockey,3.05,3,7.3,87,10,52,88,Low,2025-06-24,9.149999999999999,70.66666666666667,9.149999999999999,,1.0,Optimal,9.149999999999999,9.149999999999999,1.0
A0176,Swimming,5.91,8,9.0,67,8,46,71,Low,2025-06-25,47.28,67.66666666666667,47.28,,1.0,Optimal,47.28,47.28,1.0
A0177,Tennis,1.56,6,5.6,51,1,54,67,Low,2025-06-26,9.36,53.666666666666664,9.36,,1.0,Optimal,9.36,9.36,1.0
A0178,Tennis,2.99,5,8.3,57,8,83,97,Medium,2025-06-27,14.950000000000001,74.33333333333333,14.950000000000001,,1.0,Optimal,14.950000000000001,14.950000000000001,1.0
